ProductID,ProductName,Brand,Category,SubCategory,UnitPrice,UnitCost
P0114,Contoso Speaker GM4H,Contoso,Electronics,Audio,643.53,369.59
P0115,Contoso Keyboard RLZN,Contoso,Electronics,Accessories,1144.33,835.22
P0116,Litware Cabinet T15W,Litware,Furniture,Storage,591.29,463.41
P0117,Tailspin Backpack 2JJR,Tailspin,Sports,Outdoor,429.87,252.84
P0118,AdventureWorks Keyboard XF2N,AdventureWorks,Electronics,Accessories,1620.06,1051.17
P0119,Woodgrove Smartwatch 09WS,Woodgrove,Electronics,Mobile,606.52,341.56
P0120,Tailspin Tent O4NB,Tailspin,Sports,Outdoor,400.69,223.59
P0121,Fabrikam Dumbbells VW97,Fabrikam,Sports,Fitness,344.27,281.34
P0122,AdventureWorks Folder T2BV,AdventureWorks,Office Supplies,Binders,36.41,24.88
P0123,Tailspin Speaker 22XX,Tailspin,Electronics,Audio,1591.79,1028.28
P0124,Contoso Standing Desk UIK0,Contoso,Furniture,Office,122.74,76.62
P0125,Tailspin Speaker I59W,Tailspin,Electronics,Audio,1247.08,1015.88
P0126,AdventureWorks Headphones 7IP4,AdventureWorks,Electronics,Audio,1364.1,843.16
P0127,Contoso Table ICMY,Contoso,Furniture,Home,855.31,638.01
P0128,Fabrikam Divider Set IFZF,Fabrikam,Office Supplies,Binders,65.85,41.26
P0129,AdventureWorks Chair RUIH,AdventureWorks,Furniture,Office,303.99,172.98
P0130,Northwind Pen Set MAAN,Northwind,Office Supplies,Writing,104.06,76.43
P0131,Northwind Laptop LUBW,Northwind,Electronics,Computers,1345.01,740.35
P0132,Tailspin Standing Desk UW3C,Tailspin,Furniture,Office,469.05,343.56
P0133,Northwind Heater LY57,Northwind,Appliances,Climate,959.98,592.89
P0134,AdventureWorks Basketball OOCQ,AdventureWorks,Sports,Team Sports,160.83,120.86
P0135,Woodgrove Table H13K,Woodgrove,Furniture,Home,520.62,394.54
P0136,Contoso Divider Set D61I,Contoso,Office Supplies,Binders,99.15,73.92
P0137,Northwind Speaker L2FI,Northwind,Electronics,Audio,627.64,349.35
P0138,Contoso Phone HLVW,Contoso,Electronics,Mobile,940.11,695.69
P0139,Litware Air Purifier GH7J,Litware,Appliances,Cleaning,1100.15,899.2
P0140,Fabrikam Headphones QAM4,Fabrikam,Electronics,Audio,1398.38,860.72
P0141,Woodgrove Cabinet ZRMX,Woodgrove,Furniture,Storage,808.36,504.45
P0142,Fabrikam Marker Pack LI7G,Fabrikam,Office Supplies,Writing,46.2,35.56
P0143,Northwind Soundbar Q9MU,Northwind,Electronics,Audio,1835.29,1088.89
P0144,Tailspin Tablet MHSX,Tailspin,Electronics,Mobile,357.81,260.61
P0145,Woodgrove Desk 1WF7,Woodgrove,Furniture,Office,499.08,376.24
P0146,Fabrikam Dumbbells XPX1,Fabrikam,Sports,Fitness,303.81,170.14
P0147,Fabrikam Planner X4Z3,Fabrikam,Office Supplies,Paper,96.4,67.43
P0148,Litware Table HIWT,Litware,Furniture,Home,848.71,598.75
P0149,Northwind Headphones H801,Northwind,Electronics,Audio,1295.15,818.44
P0150,Fabrikam Binder CK4S,Fabrikam,Office Supplies,Binders,72.69,57.18
P0151,Woodgrove Dock RRV8,Woodgrove,Electronics,Accessories,827.89,491.72
P0152,Contoso Notebook V7N4,Contoso,Office Supplies,Paper,59.43,38.53
P0153,Litware Fan 5QWL,Litware,Appliances,Climate,650.45,506.79
P0154,Litware Drawer LV2P,Litware,Furniture,Storage,58.62,35.26
P0155,Woodgrove Tablet L0VS,Woodgrove,Electronics,Mobile,987.98,762.49
P0156,Northwind Phone DA44,Northwind,Electronics,Mobile,1523.38,870.38
P0157,Contoso Phone B2SL,Contoso,Electronics,Mobile,1298.15,885.46
P0158,Northwind Drawer IHN6,Northwind,Furniture,Storage,741.82,423.09
P0159,Northwind Volleyball GU58,Northwind,Sports,Team Sports,234.2,171.68
P0160,Litware Soundbar EIHF,Litware,Electronics,Audio,993.98,758.87
P0161,Tailspin Binder LTOP,Tailspin,Office Supplies,Binders,6.05,4.72
P0162,Litware Vacuum F9VI,Litware,Appliances,Cleaning,501.0,408.29
P0163,Woodgrove Chromebook 38FX,Woodgrove,Electronics,Computers,917.92,671.41
P0164,Woodgrove Soundbar 3I6P,Woodgrove,Electronics,Audio,499.14,378.17
P0165,Contoso Desk U1ET,Contoso,Furniture,Office,66.7,45.79
P0166,Contoso Organizer TJCT,Contoso,Office Supplies,Storage,84.21,67.07
P0167,Contoso Organizer T9VS,Contoso,Furniture,Storage,399.54,289.19
P0168,Tailspin Vacuum UG0F,Tailspin,Appliances,Cleaning,512.83,404.4
P0169,Fabrikam Sleeping Bag KPFH,Fabrikam,Sports,Outdoor,154.09,94.55
P0170,Litware Humidifier KS9W,Litware,Appliances,Climate,634.13,433.82
P0171,Contoso Tent MNJI,Contoso,Sports,Outdoor,268.76,200.78
P0172,Litware Fan NKOM,Litware,Appliances,Climate,565.02,341.69
P0173,Tailspin Tent Q7SV,Tailspin,Sports,Outdoor,355.91,216.06
P0174,Contoso Kettlebell WIOR,Contoso,Sports,Fitness,13.28,10.81
P0175,Contoso Microwave FDM6,Contoso,Appliances,Kitchen,1116.42,745.04
P0176,Northwind Treadmill 4GOU,Northwind,Sports,Fitness,50.36,30.17
P0177,Northwind Backpack PMB4,Northwind,Sports,Outdoor,286.98,183.52
P0178,Northwind Shelf COS2,Northwind,Furniture,Home,208.0,136.72
P0179,AdventureWorks Divider Set O073,AdventureWorks,Office Supplies,Binders,63.95,45.93
P0180,Contoso Pen Set 3OA1,Contoso,Office Supplies,Writing,34.44,27.52
P0181,Contoso Volleyball MQNE,Contoso,Sports,Team Sports,503.18,410.79
P0182,Tailspin Shelf AUAY,Tailspin,Furniture,Home,379.79,275.71
P0183,Litware Volleyball XV39,Litware,Sports,Team Sports,400.1,295.67
P0184,Fabrikam Steam Mop IU3K,Fabrikam,Appliances,Cleaning,334.53,213.06
P0185,Litware Sleeping Bag A5W0,Litware,Sports,Outdoor,21.03,16.43
P0186,Northwind Soundbar HQ4F,Northwind,Electronics,Audio,748.34,455.59
P0187,Northwind Coffee Maker KUSY,Northwind,Appliances,Kitchen,672.17,389.0
P0188,Contoso Coffee Maker MGPW,Contoso,Appliances,Kitchen,572.32,465.17
P0189,Northwind Sleeping Bag 1M7C,Northwind,Sports,Outdoor,560.32,438.91
P0190,AdventureWorks Soccer Ball A7GV,AdventureWorks,Sports,Team Sports,438.15,276.9
P0191,Tailspin Planner 18BO,Tailspin,Office Supplies,Paper,119.72,87.67
P0192,Fabrikam Marker Pack ZWUL,Fabrikam,Office Supplies,Writing,37.38,25.27
P0193,Fabrikam Headphones PJT2,Fabrikam,Electronics,Audio,1416.96,902.95
P0194,AdventureWorks Basketball UBXP,AdventureWorks,Sports,Team Sports,335.72,210.64
P0195,Contoso Phone H27S,Contoso,Electronics,Mobile,1096.04,643.08
P0196,Fabrikam Coffee Maker GK7G,Fabrikam,Appliances,Kitchen,1213.81,847.62
P0197,Tailspin Toaster HLRM,Tailspin,Appliances,Kitchen,767.89,514.93
P0198,Litware Shelf 9SSB,Litware,Furniture,Home,835.61,575.14
P0199,Tailspin Charger B4IM,Tailspin,Electronics,Accessories,1367.87,831.87
P0200,Fabrikam Chromebook ZWBU,Fabrikam,Electronics,Computers,306.48,246.23
P0201,Litware Basketball L07J,Litware,Sports,Team Sports,402.35,290.67
P0202,AdventureWorks Binder L4C6,AdventureWorks,Office Supplies,Binders,57.81,45.84
P0203,Woodgrove Workstation RV61,Woodgrove,Electronics,Computers,1655.08,959.12
P0204,Fabrikam Vacuum BXFD,Fabrikam,Appliances,Cleaning,983.3,706.18
P0205,Tailspin Chromebook RXHD,Tailspin,Electronics,Computers,269.97,210.4
P0206,Contoso Soccer Ball MAPL,Contoso,Sports,Team Sports,87.9,56.2
P0207,Tailspin Table VLQC,Tailspin,Furniture,Home,103.61,62.44
P0208,Fabrikam Phone 99R7,Fabrikam,Electronics,Mobile,897.13,557.62
P0209,Litware Tablet E5OW,Litware,Electronics,Mobile,216.11,134.79
P0210,Contoso Folder L0SN,Contoso,Office Supplies,Binders,83.48,55.99
P0211,Tailspin Desk 0IE5,Tailspin,Furniture,Office,527.52,336.56
P0212,Contoso Microwave XZ4W,Contoso,Appliances,Kitchen,972.77,606.27
P0213,Tailspin Standing Desk 47B0,Tailspin,Furniture,Office,273.81,198.54
P0214,AdventureWorks Sofa 6BIG,AdventureWorks,Furniture,Home,499.85,282.07
P0215,Litware Speaker AAS8,Litware,Electronics,Audio,283.04,181.68
P0216,Tailspin Tablet QXTN,Tailspin,Electronics,Mobile,1523.69,1121.79
P0217,Northwind Treadmill AIYM,Northwind,Sports,Fitness,107.62,64.3
P0218,Contoso Phone E5LA,Contoso,Electronics,Mobile,256.34,156.28
P0219,Tailspin Volleyball TQ6L,Tailspin,Sports,Team Sports,128.43,77.59
P0220,AdventureWorks Standing Desk 0VHY,AdventureWorks,Furniture,Office,709.91,390.63
